model,cv_f1_mean,cv_pr_auc_mean,cv_roc_auc_mean,test_f1,test_precision,test_recall,test_roc_auc,test_pr_auc
ebm,0.6721716899936079,0.789622750195238,0.9557795533904073,0.6804733727810651,0.8518518518518519,0.5665024630541872,0.9581920542511676,0.7870358300916339
xgboost,0.6715495016985747,0.7305415877606068,0.945682633538626,0.6771300448430493,0.6213991769547325,0.7438423645320197,0.9485271941288831,0.7625833950499903
logistic_regression,0.6579414524632388,0.772197598728067,0.9533200514216038,0.6558966074313409,0.4879807692307692,1.0,0.9537731796704351,0.7466687416917099
random_forest,0.691011498047719,0.7156346985181837,0.9472924952717875,0.6752688172043011,0.5992366412213741,0.7733990147783252,0.946840984490527,0.702754524744625
