group,n,n_affected,baseline_risk,counterfactual_risk,mean_change_whole_group,mean_change_affected_only
All sexually active respondents,2091,590,0.4819558416261284,0.3458784481572106,-0.13607739346891792,-0.482267508039843
Samburu,85,49,0.7156776303292617,0.48710966707413755,-0.22856796325512413,-0.3964954464629704
Nyeri,13,2,0.3395202694498624,0.2649375468129674,-0.07458272263689499,-0.4847876971398174
