model,cv_f1_mean,cv_pr_auc_mean,test_f1,test_precision,test_recall,test_roc_auc,test_pr_auc
ebm_subset,0.665139336363466,0.7856328390347322,0.6804733727810651,0.8518518518518519,0.5665024630541872,0.7920592041043335,0.782093570982553
xgboost_subset,0.6509016834294702,0.7270251073760382,0.6548223350253807,0.675392670157068,0.6354679802955665,0.7567138089941203,0.7658810151713316
