group,n,n_affected,baseline_risk,counterfactual_risk,mean_change_whole_group,mean_change_affected_only
All sexually active respondents,2091,857,0.4819558416261284,0.4780783643015313,-0.00387747732459723,-0.009460682713807244
Samburu,85,63,0.7156776303292617,0.7092158936866287,-0.006461736642632894,-0.008718216105139618
Nyeri,13,1,0.3395202694498624,0.33738387845064405,-0.0021363909992183883,-0.02777308298983905
